BuildingID,addr_full,lng,lat
"51348","2921 BRIGGS AVENUE BRONX NY 10458","-73.8871","40.8705"
"67370","414 EAST 204 STREET BRONX NY 10467","-73.8766","40.8705"
"47602","3018 BARNES AVENUE BRONX NY 10467","-73.8631","40.8704"
"67195","246 EAST 199 STREET BRONX NY 10458","-73.8876","40.8703"
"117171","2885 VALENTINE AVENUE BRONX NY 10458","-73.889","40.8702"
"47180","3014 BARKER AVENUE BRONX NY 10467","-73.869","40.8701"
"105415","3015 RADCLIFF AVENUE BRONX NY 10469","-73.8607","40.8701"
"108502","2707 SEDGWICK AVENUE BRONX NY 10468","-73.9036","40.8701"
"101924","3011 PAULDING AVENUE BRONX NY 10469","-73.8589","40.87"
"44721","767 ADEE AVENUE BRONX NY 10467","-73.8646","40.8699"
"67201","280 EAST 199 STREET BRONX NY 10458","-73.8868","40.8697"
"117155","2860 VALENTINE AVENUE BRONX NY 10458","-73.8893","40.8696"
"806671","3042 FENTON AVENUE BRONX NY 10469","-73.8445","40.8696"
"66999","15 EAST 196 STREET BRONX NY 10468","-73.8952","40.8691"
"73688","1450 EAST GUN HILL ROAD BRONX NY 10469","-73.844","40.869"
"117145","2828 VALENTINE AVENUE BRONX NY 10458","-73.8902","40.8688"
"51307","2833 BRIGGS AVENUE BRONX NY 10458","-73.8897","40.8688"
"73691","1464 EAST GUN HILL ROAD BRONX NY 10469","-73.8435","40.8687"
"97265","2931 MORGAN AVENUE BRONX NY 10469","-73.8455","40.8685"
"51306","2830 BRIGGS AVENUE BRONX NY 10458","-73.8894","40.8684"
"27560","88 SEAMAN AVENUE MANHATTAN NY 10034","-73.9248","40.8684"
"96734","219 MIRIAM STREET BRONX NY 10458","-73.8914","40.8684"
"8378","4996 BROADWAY MANHATTAN NY 10034","-73.9186","40.8683"
"5047","3990 10 AVENUE MANHATTAN NY 10034","-73.9165","40.8683"
"85905","2911 HOLLAND AVENUE BRONX NY 10467","-73.8656","40.8683"
"81871","2760 GRAND CONCOURSE BRONX NY 10458","-73.8921","40.8682"
"43721","509 WEST 212 STREET MANHATTAN NY 10034","-73.9171","40.8681"
